Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy
757760,4402.700833333333,49,inf,11,14
759808,12328.73416666667,52,inf,11,14
761856,13875.04,55,inf,11,14
763904,6321.019087301587,59,inf,11,14
765952,10665.913888888887,62,inf,11,14
768000,5607.707777777777,66,inf,11,14
770048,741.9150000000002,70,inf,11,14
772096,7582.238293650795,73,inf,11,14
774144,9839.844563492063,76,inf,11,14
776192,8107.117777777778,80,inf,11,14
778240,5218.745277777777,84,inf,11,16
780288,2841.782777777778,88,inf,11,16
782336,2267.172222222222,92,inf,11,16
784384,9191.325833333334,95,inf,11,16
786432,2903.1399999999994,3,inf,12,14
788480,4113.8125,6,inf,12,14
790528,5647.641666666666,9,inf,12,14
792576,144.34583333333336,13,inf,12,14
794624,1566.5844444444444,16,inf,12,14
796672,7950.781388888888,19,inf,12,14
798720,10225.205555555554,22,inf,12,14
800768,1031.6041666666665,26,inf,12,14
802816,6383.735833333333,29,inf,12,14
804864,15370.973333333328,32,inf,12,14
806912,7808.298333333332,35,inf,12,14
808960,3561.931388888889,39,inf,12,14
811008,8875.459166666667,42,inf,12,14
813056,7443.635555555554,45,inf,12,14
815104,1649.8999999999999,49,inf,12,14
817152,4501.927023809522,52,inf,12,14
819200,12261.395753968254,55,inf,12,14
821248,2903.1899999999996,59,inf,12,14
823296,3478.3452777777766,62,inf,12,14
825344,10102.650833333331,65,inf,12,14
827392,8439.525000000001,68,inf,12,14
829440,9652.108333333334,71,inf,12,14
831488,8092.119642857142,74,inf,12,14
833536,7831.588888888891,77,inf,12,14
835584,11648.528888888894,80,inf,12,14
837632,7444.654206349204,83,inf,12,16
839680,8397.204166666666,86,inf,12,16
841728,12288.553769841263,89,inf,12,16
843776,16400.88531746031,91,inf,12,16
845824,1937.3008333333332,95,inf,12,16
847872,4975.169444444444,98,inf,12,16
849920,989.5911111111113,102,inf,12,16
851968,10123.69166666667,105,inf,12,16
854016,6812.783333333332,109,inf,12,16
856064,2822.4085317460313,113,inf,12,16
858112,18494.116269841274,115,inf,12,16
860160,11923.148055555548,118,inf,12,16
862208,11170.670833333335,121,inf,12,16
864256,5180.447222222222,124,inf,12,16
866304,13172.419166666663,127,inf,12,16
868352,12043.433333333334,129,inf,12,16
870400,14784.851507936517,132,inf,12,16
872448,9600.716111111113,135,inf,12,16
874496,4891.098055555555,139,inf,12,16
876544,7072.3916666666655,142,inf,12,16
878592,8494.596230158733,145,inf,12,16
880640,10673.361507936504,147,inf,12,16
882688,1732.2022222222222,151,inf,12,16
884736,10732.016666666665,154,inf,12,16
886784,8179.324444444447,157,inf,12,16
888832,3089.8888888888896,161,inf,12,16
890880,3708.3958333333335,164,inf,12,16
892928,8281.278611111115,167,inf,12,16
894976,12871.624722222228,170,inf,12,16
897024,7418.259722222226,173,inf,12,16
899072,6853.618888888888,176,inf,12,16
901120,11702.696865079364,3,inf,13,14
903168,12953.229166666664,5,inf,13,14
905216,8300.617460317459,9,inf,13,14
907264,7386.1875,12,inf,13,14
909312,8318.21777777778,14,inf,13,14
911360,2474.2341269841268,18,inf,13,14
913408,4446.198928571428,21,inf,13,14
915456,9052.498611111112,24,inf,13,14
917504,1669.7677777777776,27,inf,13,14
919552,6730.06888888889,30,inf,13,14
921600,6346.602222222221,34,inf,13,14
923648,8243.023809523811,37,inf,13,14
925696,5571.145555555555,41,inf,13,14
927744,868.0541666666663,45,inf,13,14
929792,3583.0563888888887,48,inf,13,14
931840,4117.270436507936,51,inf,13,14
933888,5833.671666666667,2,inf,14,14
935936,2121.5425000000005,6,inf,14,14
937984,4584.996666666665,9,inf,14,14
940032,14859.28968253969,12,inf,14,14
942080,2268.138293650794,15,inf,14,14
944128,7098.399722222217,18,inf,14,14
946176,15030.028611111122,21,inf,14,14
948224,4890.973055555556,25,inf,14,14
950272,6509.502976190475,28,inf,14,14
952320,5281.8388888888885,32,inf,14,14
954368,4508.575833333334,35,inf,14,14
956416,2103.525,39,inf,14,14
958464,9929.86805555556,41,inf,14,14
960512,6589.941388888889,45,inf,14,14
962560,8015.084444444443,48,inf,14,14
964608,7652.063333333332,52,inf,14,14
966656,9844.993174603173,55,inf,14,14
